source_family,active_status,file_or_sheet_count
active_providers,rejected_not_granular_enough,8
market_concentration,rejected_not_granular_enough,1
other_download,rejected_not_granular_enough,5
participant_numbers_plan_budgets,rejected_not_granular_enough,16
participant_other,manual_review_required,1
participant_other,rejected_not_granular_enough,6
participants_by_lga,rejected_not_granular_enough,1
participants_by_sa2,rejected_not_granular_enough,1
participants_by_sa3,rejected_not_granular_enough,1
participants_count_by_diagnosis,rejected_not_granular_enough,1
payments,rejected_not_granular_enough,8
plan_management_types,rejected_not_granular_enough,9
sda_dwellings_demand,active_sa2_sa3_candidate,5
sda_dwellings_demand,manual_review_required,5
sda_dwellings_demand,rejected_not_granular_enough,11
sda_participants,rejected_not_granular_enough,1
sil_participants,rejected_not_granular_enough,1
