remoteness_area_code_2021,remoteness_area_name_2021,remoteness_area_short_2021,remoteness_area_ordinal_2021,sa2_count
10,Major Cities of Australia,Major Cities,1,416
20,Major Cities of Australia,Major Cities,1,348
40,Major Cities of Australia,Major Cities,1,101
30,Major Cities of Australia,Major Cities,1,301
80,Major Cities of Australia,Major Cities,1,130
50,Major Cities of Australia,Major Cities,1,171
31,Inner Regional Australia,Inner Regional,2,114
41,Inner Regional Australia,Inner Regional,2,26
51,Inner Regional Australia,Inner Regional,2,36
61,Inner Regional Australia,Inner Regional,2,52
21,Inner Regional Australia,Inner Regional,2,131
11,Inner Regional Australia,Inner Regional,2,150
91,Inner Regional Australia,Inner Regional,2,1
81,Inner Regional Australia,Inner Regional,2,4
32,Outer Regional Australia,Outer Regional,3,92
22,Outer Regional Australia,Outer Regional,3,42
52,Outer Regional Australia,Outer Regional,3,31
72,Outer Regional Australia,Outer Regional,3,44
42,Outer Regional Australia,Outer Regional,3,32
62,Outer Regional Australia,Outer Regional,3,40
12,Outer Regional Australia,Outer Regional,3,65
63,Remote Australia,Remote,4,5
13,Remote Australia,Remote,4,7
73,Remote Australia,Remote,4,8
43,Remote Australia,Remote,4,8
53,Remote Australia,Remote,4,13
23,Remote Australia,Remote,4,1
33,Remote Australia,Remote,4,19
54,Very Remote Australia,Very Remote,5,14
44,Very Remote Australia,Very Remote,5,7
34,Very Remote Australia,Very Remote,5,20
14,Very Remote Australia,Very Remote,5,4
74,Very Remote Australia,Very Remote,5,16
64,Very Remote Australia,Very Remote,5,2
94,Very Remote Australia,Very Remote,5,3
15,Migratory - Offshore - Shipping (NSW),Migratory - Offshore - Shipping (NSW),,1
19,No usual address (NSW),No usual address (NSW),,1
25,Migratory - Offshore - Shipping (Vic.),Migratory - Offshore - Shipping (Vic.),,1
29,No usual address (Vic.),No usual address (Vic.),,1
35,Migratory - Offshore - Shipping (Qld),Migratory - Offshore - Shipping (Qld),,1
39,No usual address (Qld),No usual address (Qld),,1
45,Migratory - Offshore - Shipping (SA),Migratory - Offshore - Shipping (SA),,1
49,No usual address (SA),No usual address (SA),,1
55,Migratory - Offshore - Shipping (WA),Migratory - Offshore - Shipping (WA),,1
59,No usual address (WA),No usual address (WA),,1
65,Migratory - Offshore - Shipping (Tas.),Migratory - Offshore - Shipping (Tas.),,1
69,No usual address (Tas.),No usual address (Tas.),,1
75,Migratory - Offshore - Shipping (NT),Migratory - Offshore - Shipping (NT),,1
79,No usual address (NT),No usual address (NT),,1
85,Migratory - Offshore - Shipping (ACT),Migratory - Offshore - Shipping (ACT),,1
89,No usual address (ACT),No usual address (ACT),,1
95,Migratory - Offshore - Shipping (OT),Migratory - Offshore - Shipping (OT),,1
99,No usual address (OT),No usual address (OT),,1
